,Unnamed: 0,School Name,Applicants,Admitted,Enrolled,Acceptance Rate,Admission Yield,State
0,,"Alabama A & M University  Normal, AL",9638,8674,1561,90.00%,18.00%,AL
1,,"Alabama State University  Montgomery, AL",7783,7627,1068,98.00%,14.00%,AL
2,,"Auburn University  Auburn, AL",20742,15557,4823,75.00%,31.00%,AL
3,,"Auburn University at Montgomery  Montgomery, AL",5941,5525,774,93.00%,14.01%,AL
4,,"Birmingham Southern College  Birmingham, AL",3636,2073,332,57.01%,16.02%,AL
5,,"Blue Cliff Career College  Mobile, AL",40,36,32,90.00%,88.89%,AL
6,,"Faulkner University  Montgomery, AL",2671,1389,278,52.00%,20.01%,AL
7,,"Herzing University-Birmingham  Birmingham, AL",80,76,39,95.00%,51.32%,AL
8,,"Huntingdon College  Montgomery, AL",2044,1186,249,58.02%,20.99%,AL
9,,"Jacksonville State University  Jacksonville, AL",6033,3258,1075,54.00%,33.00%,AL
10,,"Judson College  Marion, AL",529,254,69,48.02%,27.17%,AL
11,,"Marion Military Institute  Marion, AL",914,512,230,56.02%,44.92%,AL
12,,"Oakwood University  Huntsville, AL",1706,1126,315,66.00%,27.98%,AL
13,,"Samford University  Birmingham, AL",3884,3185,956,82.00%,30.02%,AL
14,,"Spring Hill College  Mobile, AL",8587,5667,283,66.00%,4.99%,AL
15,,"Stillman College  Tuscaloosa, AL",3265,1273,165,38.99%,12.96%,AL
16,,"The University of Alabama  Tuscaloosa, AL",37302,22008,6602,59.00%,30.00%,AL
17,,"Troy University  Troy, AL",7332,6452,1936,88.00%,30.01%,AL
18,,"Tuskegee University  Tuskegee, AL",11833,6153,554,52.00%,9.00%,AL
19,,"University of Alabama at Birmingham  Birmingham, AL",7845,7217,2309,91.99%,31.99%,AL
20,,"University of Alabama in Huntsville  Huntsville, AL",4543,3680,1435,81.00%,38.99%,AL
21,,"University of Mobile  Mobile, AL",1758,826,256,46.99%,30.99%,AL
22,,"University of Montevallo  Montevallo, AL",3882,1863,484,47.99%,25.98%,AL
23,,"University of North Alabama  Florence, AL",4450,2848,997,64.00%,35.01%,AL
24,,"University of South Alabama  Mobile, AL",6555,5178,1916,78.99%,37.00%,AL
25,,"University of West Alabama  Livingston, AL",8870,3548,426,40.00%,12.01%,AL
26,,Average,6610,4507,1122,68.19%,24.89%,AL
0,,"Alaska Pacific University  Anchorage, AK",419,352,49,84.01%,13.92%,AK
1,,"University of Alaska Anchorage  Anchorage, AK",3745,3033,1607,80.99%,52.98%,AK
2,,"University of Alaska Fairbanks  Fairbanks, AK",1683,1279,742,76.00%,58.01%,AK
3,,"University of Alaska Southeast  Juneau, AK",499,314,217,62.93%,69.11%,AK
4,,Average,1587,1245,654,78.44%,52.53%,AK
0,,"Arizona Christian University  Phoenix, AZ",404,226,156,55.94%,69.03%,AZ
1,,"Arizona State University-Downtown Phoenix  Phoenix, AZ",5763,4668,1447,81.00%,31.00%,AZ
2,,"Arizona State University-Polytechnic  Mesa, AZ",2604,2161,648,82.99%,29.99%,AZ
3,,"Arizona State University-Skysong  Scottsdale, AZ",7481,5087,2391,68.00%,47.00%,AZ
4,,"Arizona State University-Tempe  Tempe, AZ",26869,22839,8907,85.00%,39.00%,AZ
5,,"Arizona State University-West  Glendale, AZ",2610,2140,663,81.99%,30.98%,AZ
6,,"Carrington College-Phoenix North  Phoenix, AZ",143,129,94,90.21%,72.87%,AZ
7,,"Carrington College-Tucson  Tucson, AZ",87,76,57,87.36%,75.00%,AZ
8,,"Chamberlain University-Arizona  Phoenix, AZ",11,3,2,27.27%,66.67%,AZ
9,,"DeVry University-Arizona  Phoenix, AZ",28,27,23,96.43%,85.19%,AZ
10,,"Embry-Riddle Aeronautical University-Prescott  Prescott, AZ",2859,1916,613,67.02%,31.99%,AZ
11,,"Grand Canyon University  Phoenix, AZ",31958,23329,3966,73.00%,17.00%,AZ
12,,"Northern Arizona University  Flagstaff, AZ",36831,30570,5808,83.00%,19.00%,AZ
13,,"Prescott College  Prescott, AZ",248,236,47,95.16%,19.92%,AZ
14,,"University of Advancing Technology  Tempe, AZ",836,694,104,83.01%,14.99%,AZ
15,,"University of Arizona  Tucson, AZ",39941,33550,7717,84.00%,23.00%,AZ
16,,Average,9917,7978,2040,80.45%,25.57%,AZ
0,,"Arkansas State University-Main Campus  Jonesboro, AR",5253,4045,1578,77.00%,39.01%,AR
1,,"Arkansas Tech University  Russellville, AR",5122,4610,1706,90.00%,37.01%,AR
2,,"Baptist Health College-Little Rock  Little Rock, AR",6,4,3,66.67%,75.00%,AR
3,,"Central Baptist College  Conway, AR",433,264,129,60.97%,48.86%,AR
4,,"Ecclesia College  Springdale, AR",109,76,56,69.72%,73.68%,AR
5,,"Harding University  Searcy, AR",1927,1445,867,74.99%,60.00%,AR
6,,"Henderson State University  Arkadelphia, AR",2856,2599,858,91.00%,33.01%,AR
7,,"Hendrix College  Conway, AR",1545,1112,311,71.97%,27.97%,AR
8,,"John Brown University  Siloam Springs, AR",1094,842,320,76.97%,38.00%,AR
9,,"Lyon College  Batesville, AR",1741,871,218,50.03%,25.03%,AR
10,,"Ouachita Baptist University  Arkadelphia, AR",2162,1384,443,64.01%,32.01%,AR
11,,"Southern Arkansas University Main Campus  Magnolia, AR",3552,2451,907,69.00%,37.01%,AR
12,,"University of Arkansas  Fayetteville, AR",18732,14424,5048,77.00%,35.00%,AR
13,,"University of Arkansas at Little Rock  Little Rock, AR",2593,2048,573,78.98%,27.98%,AR
14,,"University of Arkansas at Pine Bluff  Pine Bluff, AR",5508,2424,558,44.01%,23.02%,AR
15,,"University of Arkansas Community College-Morrilton  Morrilton, AR",1234,913,466,73.99%,51.04%,AR
16,,"University of Central Arkansas  Conway, AR",5541,5042,2017,90.99%,40.00%,AR
17,,"University of the Ozarks  Clarksville, AR",1808,940,273,51.99%,29.04%,AR
18,,"Williams Baptist College  Walnut Ridge, AR",775,434,156,56.00%,35.94%,AR
19,,Average,3263,2417,868,74.09%,35.90%,AR
0,,"Alliant International University-San Diego  San Diego, CA",11,11,1,100.00%,9.09%,CA
1,,"American Academy of Dramatic Arts-Los Angeles  Los Angeles, CA",408,322,81,78.92%,25.16%,CA
2,,"American Jewish University  Los Angeles, CA",25,24,6,96.00%,25.00%,CA
3,,"Art Center College of Design  Pasadena, CA",844,574,241,68.01%,41.99%,CA
4,,"Azusa Pacific University  Azusa, CA",9832,6784,1153,69.00%,17.00%,CA
5,,"Beverly Hills Design Institute  Beverly Hills, CA",9,2,1,22.22%,50.00%,CA
6,,"Biola University  La Mirada, CA",3792,2768,858,73.00%,31.00%,CA
7,,"Brandman University  Irvine, CA",96,76,58,79.17%,76.32%,CA
8,,"California Baptist University  Riverside, CA",6595,5276,1636,80.00%,31.01%,CA
9,,"California Christian College  Fresno, CA",1,1,1,100.00%,100.00%,CA
10,,"California College of the Arts  San Francisco, CA",2292,2017,262,88.00%,12.99%,CA
11,,"California Institute of Technology  Pasadena, CA",8208,575,247,7.01%,42.96%,CA
12,,"California Institute of the Arts  Valencia, CA",2333,537,215,23.02%,40.04%,CA
13,,"California Jazz Conservatory  Berkeley, CA",2,2,2,100.00%,100.00%,CA
14,,"California Lutheran University  Thousand Oaks, CA",5752,4084,694,71.00%,16.99%,CA
15,,"California Miramar University  San Diego, CA",41,9,5,21.95%,55.56%,CA
16,,"California Polytechnic State University-San Luis Obispo  San Luis Obispo, CA",54663,16399,4428,30.00%,27.00%,CA
17,,"California State Polytechnic University-Pomona  Pomona, CA",36662,20164,3831,55.00%,19.00%,CA
18,,"California State University Maritime Academy  Vallejo, CA",1117,748,217,66.97%,29.01%,CA
19,,"California State University-Bakersfield  Bakersfield, CA",11455,2635,1502,23.00%,57.00%,CA
20,,"California State University-Channel Islands  Camarillo, CA",11330,8837,972,78.00%,11.00%,CA
21,,"California State University-Chico  Chico, CA",23964,15577,2648,65.00%,17.00%,CA
22,,"California State University-Dominguez Hills  Carson, CA",20235,12950,2072,64.00%,16.00%,CA
23,,"California State University-East Bay  Hayward, CA",16131,11614,1510,72.00%,13.00%,CA
24,,"California State University-Fresno  Fresno, CA",18476,10716,3643,58.00%,34.00%,CA
25,,"California State University-Fullerton  Fullerton, CA",51415,22108,4422,43.00%,20.00%,CA
26,,"California State University-Long Beach  Long Beach, CA",69610,21579,4963,31.00%,23.00%,CA
27,,"California State University-Los Angeles  Los Angeles, CA",39854,16739,3850,42.00%,23.00%,CA
28,,"California State University-Monterey Bay  Seaside, CA",12423,7330,1026,59.00%,14.00%,CA
29,,"California State University-Northridge  Northridge, CA",34856,17777,4800,51.00%,27.00%,CA
30,,"California State University-Sacramento  Sacramento, CA",27108,17349,3817,64.00%,22.00%,CA
31,,"California State University-San Bernardino  San Bernardino, CA",16045,8825,2648,55.00%,30.01%,CA
32,,"California State University-San Marcos  San Marcos, CA",17649,10236,2457,58.00%,24.00%,CA
33,,"California State University-Stanislaus  Turlock, CA",7674,6600,1584,86.00%,24.00%,CA
34,,"Carrington College-Pleasant Hill  Pleasant Hill, CA",64,52,32,81.25%,61.54%,CA
35,,"Carrington College-Sacramento  Sacramento, CA",115,102,79,88.70%,77.45%,CA
36,,"Carrington College-San Jose  San Jose, CA",91,85,60,93.41%,70.59%,CA
37,,"Carrington College-San Leandro  San Leandro, CA",74,68,45,91.89%,66.18%,CA
38,,"Casa Loma College-Van Nuys  Van Nuys, CA",23,21,19,91.30%,90.48%,CA
39,,"Central Coast College  Salinas, CA",162,156,115,96.30%,73.72%,CA
40,,"Chapman University  Orange, CA",14198,7667,1687,54.00%,22.00%,CA
41,,"Charles R Drew University of Medicine and Science  Los Angeles, CA",373,138,26,37.00%,18.84%,CA
42,,"Claremont McKenna College  Claremont, CA",6272,564,316,8.99%,56.03%,CA
