,Unnamed: 0,School Name,Required to Apply,SAT 25% Percentile,SAT 75% Percentile,ACT 25% Percentile,ACT 75% Percentile,State
0,,"Alabama A & M University  Normal, AL",Required,850,1030,45,57,AL
1,,"Alabama State University  Montgomery, AL",Required,860,1030,45,58,AL
2,,"Auburn University  Auburn, AL",Required,1150,1310,73,91,AL
3,,"Auburn University at Montgomery  Montgomery, AL",Required,990,1140,53,69,AL
4,,"Birmingham Southern College  Birmingham, AL",Required,1040,1220,65,86,AL
5,,"Faulkner University  Montgomery, AL",Required,1020,1190,50,74,AL
6,,"Huntingdon College  Montgomery, AL",Required,998,1150,54,71,AL
7,,"Jacksonville State University  Jacksonville, AL",Required,910,930,56,78,AL
8,,"Judson College  Marion, AL",Required,1030,1165,49,69,AL
9,,"Marion Military Institute  Marion, AL",Required,1090,1280,55,78,AL
10,,"Oakwood University  Huntsville, AL",Required,942,1010,46,66,AL
11,,"Samford University  Birmingham, AL",Required,1072,1270,68,88,AL
12,,"Spring Hill College  Mobile, AL",Required,1015,1185,58,76,AL
13,,"The University of Alabama  Tuscaloosa, AL",Required,1060,1280,67,94,AL
14,,"Troy University  Troy, AL",Required,960,1145,53,73,AL
15,,"Tuskegee University  Tuskegee, AL",Required,-,-,49,87,AL
16,,"University of Alabama at Birmingham  Birmingham, AL",Required,980,1240,62,86,AL
17,,"University of Alabama in Huntsville  Huntsville, AL",Required,1010,1380,74,95,AL
18,,"University of Mobile  Mobile, AL",Required,890,1087,51,73,AL
19,,"University of Montevallo  Montevallo, AL",Required,-,-,58,79,AL
20,,"University of North Alabama  Florence, AL",Required,1010,1190,56,76,AL
21,,"University of South Alabama  Mobile, AL",Required,1040,1240,61,82,AL
22,,"University of West Alabama  Livingston, AL",Required,860,1020,52,69,AL
0,,"University of Alaska Fairbanks  Fairbanks, AK",Required,1050,1270,53,75,AK
0,,"Arizona Christian University  Phoenix, AZ",Required,930,1125,49,65,AZ
1,,"Arizona State University-Downtown Phoenix  Phoenix, AZ",Required,1080,1270,59,78,AZ
2,,"Arizona State University-Polytechnic  Mesa, AZ",Required,1100,1310,62,82,AZ
3,,"Arizona State University-Tempe  Tempe, AZ",Required,1130,1360,65,86,AZ
4,,"Arizona State University-West  Glendale, AZ",Required,1050,1250,55,75,AZ
5,,"University of Arizona  Tucson, AZ",Recommended,1070,1310,61,82,AZ
0,,"Arkansas State University-Main Campus  Jonesboro, AR",Required,1030,1196,63,81,AR
1,,"Baptist Health College-Little Rock  Little Rock, AR",Required,-,-,49,56,AR
2,,"Central Baptist College  Conway, AR",Required,880,1030,47,66,AR
3,,"Harding University  Searcy, AR",Required,1060,1300,65,87,AR
4,,"Henderson State University  Arkadelphia, AR",Required,978,1130,56,74,AR
5,,"Hendrix College  Conway, AR",Required,1160,1390,79,96,AR
6,,"John Brown University  Siloam Springs, AR",Required,1110,1365,67,90,AR
7,,"Lyon College  Batesville, AR",Required,1040,1188,63,84,AR
8,,"Ouachita Baptist University  Arkadelphia, AR",Required,1040,1250,62,86,AR
9,,"Southern Arkansas University Main Campus  Magnolia, AR",Required,1000,1220,54,73,AR
10,,"University of Arkansas  Fayetteville, AR",Required,1100,1290,68,88,AR
11,,"University of Arkansas at Little Rock  Little Rock, AR",Required,950,1190,54,75,AR
12,,"University of Arkansas at Pine Bluff  Pine Bluff, AR",Required,890,1040,47,61,AR
13,,"University of Central Arkansas  Conway, AR",Required,970,1170,61,81,AR
